日期時間,奈秒,經度,緯度,電流強度(kA),雷擊型態
2015-02-02 18:29:10,719300000,24.5878,121.0461,-,IC
2015-02-02 18:29:10,719400000,24.5903,121.0473,-,IC
2015-02-02 18:29:10,719500000,24.58,121.046,-,IC
2015-02-02 20:17:12,608500000,24.1761,121.1294,-,IC
2015-02-02 20:17:12,608600000,24.1795,121.1326,-,IC
2015-02-03 17:10:40,119300000,23.2772,121.1366,-,IC
2015-02-03 20:38:12,323600000,23.0456,121.1711,-,IC
2015-02-04 22:33:28,214800000,24.043,121.0156,-,IC
2015-02-05 02:07:01,229100000,24.4826,120.9526,-,IC
2015-02-05 08:13:18,744900000,22.8495,121.2031,-,IC
2015-02-05 08:13:18,745000000,22.8495,121.2031,-,IC
2015-02-05 08:26:35,708300000,25.0891,121.0207,-,IC
2015-02-06 20:20:52,6500000,23.2318,122.247,-,IC
2015-02-07 19:29:50,898000000,25.0303,121.5366,-,IC
2015-02-07 19:29:50,898100000,25.0303,121.5366,-,IC
2015-02-07 19:37:27,27000000,25.0235,121.5496,-,IC
2015-02-07 19:37:27,27100000,25.0235,121.5496,-,IC
2015-02-07 19:37:27,27200000,25.0438,121.497,-,IC
2015-02-07 21:08:33,507900000,23.2232,122.081,-,IC
2015-02-07 21:08:33,508000000,23.2232,122.081,-,IC
2015-02-07 22:10:33,852600000,23.3305,121.1352,-,IC
2015-02-08 01:38:02,44000000,23.0743,121.662,-,IC
2015-02-08 01:38:02,44200000,23.0893,121.5853,-,IC
2015-02-08 01:38:16,574600000,23.0723,121.6462,-,IC
2015-02-08 02:41:10,771700000,23.1163,121.4779,-,IC
2015-02-08 08:02:47,50500000,23.1404,121.14,-,IC
2015-02-09 16:33:30,713900000,23.5512,119.7129,-,IC
2015-02-10 07:41:57,131700000,22.7289,121.5117,-,IC
2015-02-10 07:41:57,131800000,22.7289,121.5117,-,IC
2015-02-10 07:46:07,774400000,24.3059,120.9825,-,IC
2015-02-11 04:44:33,481500000,23.1339,121.8364,-,IC
2015-02-11 04:44:54,348500000,23.1461,121.7625,-,IC
2015-02-11 04:45:07,64000000,23.147,121.801,-,IC
2015-02-11 04:45:07,280100000,23.1476,121.8241,-,IC
2015-02-11 04:59:41,946100000,23.1842,122.2254,-,IC
2015-02-11 04:59:41,946500000,23.1799,122.2342,-,IC
2015-02-11 04:59:41,946600000,23.2151,122.2075,-,IC
2015-02-11 17:05:42,287500000,24.6043,120.8767,-,IC
2015-02-11 17:05:42,287600000,24.6043,120.8767,-,IC
2015-02-11 18:38:29,973600000,22.7226,121.1624,-,IC
2015-02-12 14:16:40,17400000,24.2337,122.0148,-,IC
2015-02-12 14:16:40,17500000,24.2386,122.0228,-,IC
2015-02-12 14:16:40,905100000,24.0538,121.894,-,IC
2015-02-12 14:16:41,433200000,24.0448,121.8646,-,IC
2015-02-12 14:16:41,433300000,24.0438,121.8627,-,IC
2015-02-12 14:16:41,433400000,24.0437,121.8599,-,IC
2015-02-12 16:03:49,224500000,24.0197,121.4947,-,IC
2015-02-12 16:03:49,224600000,24.0197,121.4947,-,IC
2015-02-12 21:49:13,108400000,23.0736,122.3791,-,IC
2015-02-14 18:06:20,174500000,22.794,122.6192,-,IC
2015-02-14 19:19:11,775200000,22.7457,122.6353,-,IC
2015-02-14 22:44:40,67500000,22.7364,122.6208,-,IC
2015-02-14 22:44:40,68000000,22.7375,122.6312,-,IC
2015-02-14 22:44:40,68100000,22.7551,122.617,-,IC
2015-02-15 01:34:27,991500000,23.0151,121.663,-,IC
2015-02-15 01:34:27,991600000,23.0138,121.6631,-,IC
2015-02-15 07:17:09,60900000,23.9491,121.748,-,IC
2015-02-15 20:00:51,796900000,22.8302,121.8812,-,IC
2015-02-15 21:02:24,126987399,24.9869632720947,119.13956451416,-10.804,CG
2015-02-15 21:08:42,290511302,25.0022048950195,119.124130249023,-28.1385,CG
2015-02-15 22:45:04,102300000,23.0163,121.5596,-,IC
2015-02-15 22:54:53,78100000,25.0808,120.8565,-,IC
2015-02-15 22:54:53,78500000,25.0886,120.8683,-,IC
2015-02-16 00:59:09,244600000,22.769,121.1753,-,IC
2015-02-16 04:01:40,460800000,24.4534,120.9583,-,IC
2015-02-17 04:15:22,963300000,22.4744,122.7066,-,IC
2015-02-17 20:57:56,251900000,22.8829,121.7312,-,IC
2015-02-18 10:34:34,832500000,23.4764,120.5864,-,IC
2015-02-18 18:31:40,843200000,22.7157,122.6219,-,IC
2015-02-18 21:05:39,796600000,22.9115,122.4824,-,IC
2015-02-18 23:07:31,439000000,22.9606,122.1317,-,IC
2015-02-20 12:54:07,333900000,23.3753,119.3502,-,IC
2015-02-20 12:54:07,334000000,23.3715,119.3459,-,IC
2015-02-20 12:54:07,334200000,23.2922,119.4423,-,IC
2015-02-20 12:54:07,334300000,23.2934,119.4436,-,IC
2015-02-21 09:43:50,408400000,23.6774,122.2858,-,IC
2015-02-21 09:43:50,408500000,23.6763,122.2882,-,IC
2015-02-21 17:55:51,99111244,25.6233329772949,119.536781311035,16.502,CG
2015-02-21 19:30:47,435800000,23.1476,121.1341,-,IC
2015-02-21 23:27:16,664100000,22.9739,121.8314,-,IC
2015-02-21 23:35:11,248383849,22.752233505249,120.52938079834,-13.394,CG
2015-02-22 01:57:26,836712697,22.315315246582,120.50276184082,-16.835,CG
2015-02-22 02:10:40,362700000,22.1148,120.951,-,IC
2015-02-22 04:12:38,590400000,21.8783,121.1663,-,IC
2015-02-22 04:12:38,590500000,21.8728,121.1653,-,IC
2015-02-22 04:12:38,590600000,21.8643,121.1683,-,IC
2015-02-22 04:12:38,590700000,21.8598,121.1617,-,IC
2015-02-22 04:12:38,590800000,21.8544,121.1593,-,IC
2015-02-22 04:25:50,68000000,21.8616,121.153,-,IC
2015-02-22 04:25:50,238200000,21.8149,121.2256,-,IC
2015-02-22 04:35:05,230700000,21.8129,121.2602,-,IC
2015-02-22 04:35:05,230800000,21.8158,121.256,-,IC
2015-02-22 04:42:32,793000000,21.7686,120.7096,-,IC
2015-02-22 04:42:32,793100000,21.7686,120.7096,-,IC
2015-02-22 04:56:01,621000000,21.7329,121.0012,-,IC
2015-02-22 05:05:03,26200000,21.7548,121.063,-,IC
2015-02-22 05:07:26,575400000,21.6916,121.1131,-,IC
2015-02-22 05:26:16,240100000,21.7448,121.2764,-,IC
2015-02-22 05:26:16,380800000,21.7622,121.3019,-,IC
2015-02-22 05:29:30,85400000,21.7255,121.3337,-,IC
2015-02-23 11:52:41,248700000,24.1385,120.349,-,IC
2015-02-23 16:47:05,59700000,23.1663,121.1268,-,IC
2015-02-23 20:33:27,998200000,23.0686,121.612,-,IC
2015-02-23 20:33:29,120200000,23.0037,121.776,-,IC
2015-02-23 20:33:29,120300000,23.0046,121.7724,-,IC
2015-02-23 22:54:53,356000000,26.2296,120.154,-,IC
2015-02-23 23:10:33,222400000,25.7174,120.5706,-,IC
2015-02-23 23:10:33,222500000,25.6893,120.6275,-,IC
2015-02-24 00:42:44,808400000,23.0085,121.8563,-,IC
2015-02-24 00:42:44,808500000,23.0188,121.8538,-,IC
2015-02-24 01:49:20,336000000,24.849,120.6754,-,IC
2015-02-24 02:02:58,820390144,26.0941543579102,119.927429199219,-17.464,CG
2015-02-24 02:26:02,643000000,24.9454,120.7863,-,IC
2015-02-24 02:26:02,643100000,24.946,120.7714,-,IC
2015-02-24 02:26:02,643200000,24.9389,120.7748,-,IC
2015-02-24 02:26:02,643400000,24.9384,120.7752,-,IC
2015-02-24 02:26:02,643500000,24.9374,120.7757,-,IC
2015-02-24 02:26:54,330012923,24.3422527313232,119.052139282227,-10.73,CG
2015-02-24 02:27:02,953805350,25.0182437896729,120.221122741699,-5.291,CG
2015-02-24 02:31:13,265100000,24.968,120.5587,-,IC
2015-02-24 02:31:13,265200000,24.9744,120.5522,-,IC
2015-02-24 02:31:13,265300000,24.9858,120.5275,-,IC
2015-02-24 02:31:13,265400000,24.9827,120.5359,-,IC
2015-02-24 02:31:13,265500000,24.9767,120.5751,-,IC
