日期時間,奈秒,經度,緯度,電流強度(kA),雷擊型態
2015-01-01 09:24:07,553100000,23.3724,120.6338,-,IC
2015-01-02 14:46:08,743500000,23.0074,120.67,-,IC
2015-01-02 14:46:08,743600000,23.0065,120.663,-,IC
2015-01-02 16:26:00,705500000,23.4532,120.6324,-,IC
2015-01-07 21:09:14,821400000,22.9092,121.1743,-,IC
2015-01-12 12:11:34,124300000,24.5778,120.6257,-,IC
2015-01-12 18:38:35,482900000,23.151,121.6902,-,IC
2015-01-12 18:49:52,493500000,23.0949,121.9192,-,IC
2015-01-12 18:49:52,493600000,23.0938,121.9195,-,IC
2015-01-13 19:19:46,25100000,24.1646,121.0016,-,IC
2015-01-13 19:54:34,795500000,24.1467,120.9967,-,IC
2015-01-13 20:34:09,912600000,23.045,121.1544,-,IC
2015-01-13 20:34:26,845100000,23.5614,121.0856,-,IC
2015-01-13 20:34:31,775600000,24.1443,121.0015,-,IC
2015-01-13 20:34:41,697400000,24.208,120.9953,-,IC
2015-01-13 20:34:41,697500000,24.208,120.9953,-,IC
2015-01-13 20:34:44,642500000,24.232,120.9954,-,IC
2015-01-13 20:34:44,657800000,24.265,120.987,-,IC
2015-01-13 20:39:46,169100000,23.9011,120.9348,-,IC
2015-01-13 20:39:47,461600000,24.1798,121.0008,-,IC
2015-01-13 20:39:47,461700000,24.1798,121.0008,-,IC
2015-01-13 20:39:50,13700000,24.1638,120.9982,-,IC
2015-01-13 20:41:05,18300000,24.2484,120.9914,-,IC
2015-01-13 20:41:05,18400000,24.2429,120.9906,-,IC
2015-01-13 20:58:58,850400000,23.5958,121.074,-,IC
2015-01-13 21:24:24,122600000,24.1405,121.0075,-,IC
2015-01-13 21:27:04,539300000,24.2451,120.9875,-,IC
2015-01-13 21:27:04,539400000,24.2521,120.9885,-,IC
2015-01-13 21:45:21,702100000,23.2632,121.1279,-,IC
2015-01-14 08:25:48,862900000,23.2093,121.1188,-,IC
2015-01-17 10:54:57,91900000,22.6999,122.173,-,IC
2015-01-18 16:52:27,43100000,23.2215,121.1311,-,IC
2015-01-19 16:28:51,648100000,24.3099,120.6469,-,IC
2015-01-21 08:48:11,934700000,22.8784,121.1959,-,IC
2015-01-23 14:13:17,709800000,23.8926,121.0492,-,IC
2015-01-23 23:27:08,56400000,23.1131,121.1511,-,IC
2015-01-23 23:27:08,56500000,23.1131,121.1511,-,IC
2015-01-27 17:06:43,378100000,23.4607,121.119,-,IC
2015-01-27 17:06:54,44900000,24.5371,120.6036,-,IC
2015-01-27 17:06:54,262600000,24.4829,120.7778,-,IC
2015-01-27 17:07:00,946100000,24.947,121.2006,-,IC
2015-01-27 17:07:01,145000000,24.9737,121.2393,-,IC
2015-01-27 17:07:02,175100000,24.9464,121.2038,-,IC
2015-01-27 17:07:02,325800000,24.9796,121.2261,-,IC
2015-01-27 17:07:02,719900000,24.9629,121.2149,-,IC
2015-01-27 17:45:37,719400000,23.6284,121.0844,-,IC
2015-01-28 13:49:34,761200000,23.3751,121.8041,-,IC
2015-01-28 19:47:43,711000000,23.1391,121.9799,-,IC
2015-01-29 08:33:53,173300000,24.7904,119.6347,-,IC
2015-01-29 08:33:54,785000000,24.8571,119.4861,-,IC
2015-01-29 08:34:05,807700000,24.3738,119.9431,-,IC
2015-01-29 09:31:45,323600000,23.4093,120.6743,-,IC
2015-01-29 09:31:45,606200000,23.3935,120.6698,-,IC
2015-01-29 17:40:57,302900000,24.0263,121.8634,-,IC
2015-01-29 17:49:05,468000000,23.1192,122.0839,-,IC
2015-01-29 17:49:05,468100000,23.0895,122.0997,-,IC
2015-01-29 17:49:05,468200000,23.0894,122.105,-,IC
2015-01-29 22:46:35,55800000,23.089,122.0009,-,IC
