日期時間,奈秒,經度,緯度,電流強度(kA),雷擊型態
2015-03-01 23:01:18,874000000,22.8649,122.5194,-,IC
2015-03-04 19:40:59,417800000,23.1298,121.1562,-,IC
2015-03-04 19:40:59,417900000,23.1296,121.1562,-,IC
2015-03-05 18:34:02,796800000,24.7793,121.0148,-,IC
2015-03-05 18:34:02,796900000,24.7793,121.0148,-,IC
2015-03-08 04:26:03,645000000,25.633,120.5064,-,IC
2015-03-08 04:26:03,645100000,25.5416,120.6549,-,IC
2015-03-08 04:26:03,699900000,25.495,120.6187,-,IC
2015-03-08 04:26:03,747300000,25.491,120.6356,-,IC
2015-03-08 04:46:39,286300000,25.6957,120.4844,-,IC
2015-03-08 07:55:58,469800000,26.2551,119.7571,-,IC
2015-03-08 07:55:58,469900000,26.2551,119.7571,-,IC
2015-03-08 08:01:09,280600000,26.2345,120.6032,-,IC
2015-03-08 08:26:19,232600000,26.015,120.3038,-,IC
2015-03-08 08:26:19,232700000,26.015,120.3038,-,IC
2015-03-08 08:32:25,685900000,25.9976,120.3061,-,IC
2015-03-08 08:38:01,954400000,26.1237,120.224,-,IC
2015-03-08 08:44:43,687900000,26.0198,119.7543,-,IC
2015-03-08 09:20:51,928900000,25.2636,120.5942,-,IC
2015-03-08 09:20:51,929000000,25.2278,120.6128,-,IC
2015-03-08 09:20:51,956700000,25.8563,120.3604,-,IC
2015-03-08 09:20:51,986800000,26.0131,120.2007,-,IC
2015-03-08 09:20:52,78200000,25.9191,120.3419,-,IC
2015-03-08 09:20:52,78400000,25.1754,120.7016,-,IC
2015-03-08 09:22:57,433100000,26.126,120.0475,-,IC
2015-03-08 09:22:57,690800000,25.2992,120.5463,-,IC
2015-03-08 09:27:31,899400000,25.2276,120.6407,-,IC
2015-03-08 09:27:31,899500000,25.2243,120.6422,-,IC
2015-03-08 09:31:22,620200000,25.209,120.6923,-,IC
2015-03-08 09:31:22,620300000,25.209,120.6923,-,IC
2015-03-08 09:31:22,620400000,25.2136,120.6163,-,IC
2015-03-08 09:31:22,620500000,25.2311,120.6354,-,IC
2015-03-08 09:34:03,943700000,26.2137,119.9915,-,IC
2015-03-08 09:34:03,943800000,25.2034,120.619,-,IC
2015-03-08 09:34:03,943900000,25.2034,120.619,-,IC
2015-03-08 09:34:03,944000000,25.2122,120.5971,-,IC
2015-03-08 09:34:03,944100000,25.1983,120.6173,-,IC
2015-03-08 09:34:03,995800000,26.0404,120.2224,-,IC
2015-03-08 09:34:04,23000000,26.0977,120.1601,-,IC
2015-03-08 09:34:04,23100000,25.9669,120.3412,-,IC
2015-03-08 09:34:04,29800000,25.3104,120.5736,-,IC
2015-03-08 09:34:04,30000000,25.2544,120.6377,-,IC
2015-03-08 09:34:17,893900000,26.197,120.5399,-,IC
2015-03-08 09:34:26,160800000,26.0934,120.2831,-,IC
2015-03-08 09:38:54,220800000,26.1292,120.7331,-,IC
2015-03-08 09:38:54,220900000,26.1793,120.7014,-,IC
2015-03-08 09:39:35,24300000,26.352,120.7185,-,IC
2015-03-08 09:41:22,597700000,25.2741,120.6375,-,IC
2015-03-08 09:43:17,188300000,25.5687,120.5709,-,IC
2015-03-08 09:43:52,726000000,25.2725,120.6353,-,IC
2015-03-08 09:43:52,726100000,25.2702,120.6447,-,IC
2015-03-08 09:44:13,956500000,25.6922,119.9809,-,IC
2015-03-08 09:47:30,42700000,26.3833,120.6826,-,IC
2015-03-08 09:47:30,42800000,26.3833,120.6826,-,IC
2015-03-08 09:52:27,68900000,25.7204,120.6022,-,IC
2015-03-08 09:52:27,87800000,25.6566,120.5564,-,IC
2015-03-08 09:52:27,164000000,25.6066,120.5477,-,IC
2015-03-08 09:52:27,164100000,25.5308,120.6203,-,IC
2015-03-08 09:56:05,207600000,25.9895,120.5772,-,IC
2015-03-08 09:56:05,207700000,25.9895,120.5772,-,IC
2015-03-08 09:57:44,495800000,25.8946,119.5062,-,IC
2015-03-08 09:57:44,499700000,25.8061,119.6892,-,IC
2015-03-08 09:59:25,499400000,25.9323,120.5414,-,IC
2015-03-08 09:59:57,892500000,26.0364,120.2769,-,IC
2015-03-08 10:02:04,534600000,25.7494,120.6034,-,IC
2015-03-08 10:02:04,534700000,25.7559,120.5956,-,IC
2015-03-08 10:02:04,581200000,25.8491,120.6102,-,IC
2015-03-08 10:02:04,581300000,25.9686,120.5129,-,IC
2015-03-08 10:05:42,718100000,25.8509,120.0053,-,IC
2015-03-08 10:15:26,358000000,25.522,120.3647,-,IC
2015-03-08 10:15:57,870700000,25.9929,120.6146,-,IC
2015-03-08 10:15:57,870900000,25.9464,120.6566,-,IC
2015-03-08 10:24:08,666600000,26.1054,120.6459,-,IC
2015-03-08 10:24:08,666700000,26.1054,120.6459,-,IC
2015-03-08 10:28:32,766500000,26.0206,119.8678,-,IC
2015-03-08 10:28:32,766600000,25.9035,120.0625,-,IC
2015-03-08 10:31:33,163600000,26.2745,120.6836,-,IC
2015-03-08 10:31:33,163700000,26.2176,120.6825,-,IC
2015-03-08 10:31:33,214100000,26.0933,120.7314,-,IC
2015-03-08 10:31:33,214200000,26.1292,120.7078,-,IC
2015-03-08 10:31:33,214300000,26.2443,120.6742,-,IC
2015-03-08 10:31:33,214400000,26.1289,120.7181,-,IC
2015-03-08 10:31:33,275800000,26.0879,120.7415,-,IC
2015-03-08 10:35:41,264500000,26.4524,120.7543,-,IC
2015-03-08 10:40:36,457000000,26.2011,120.7324,-,IC
2015-03-08 10:59:46,318700000,25.7801,121.4953,-,IC
2015-03-08 10:59:46,318800000,25.7801,121.4953,-,IC
2015-03-08 11:22:21,800500000,25.667,120.6798,-,IC
2015-03-08 11:22:21,800600000,25.6899,120.6918,-,IC
2015-03-08 11:28:22,192100000,26.2428,121.5221,-,IC
2015-03-08 11:39:27,986900000,26.3491,121.5895,-,IC
2015-03-08 11:39:27,987000000,26.3855,121.5843,-,IC
2015-03-08 11:44:07,593800000,25.9519,121.2415,-,IC
2015-03-08 11:50:20,120400000,26.4123,121.0469,-,IC
2015-03-08 11:51:41,915800000,25.9465,120.8008,-,IC
2015-03-08 11:51:41,916000000,25.8982,120.8275,-,IC
2015-03-08 11:51:41,916100000,25.9472,120.8395,-,IC
2015-03-08 11:52:48,17600000,25.9855,121.3246,-,IC
2015-03-08 11:52:48,17700000,26.0159,121.3113,-,IC
2015-03-08 11:59:24,495300000,25.9004,120.8926,-,IC
2015-03-08 12:07:14,376645150,26.3395538330078,121.341804504395,49.95,CG
2015-03-08 12:13:51,90500000,25.9634,121.322,-,IC
2015-03-08 12:13:51,90600000,25.916,121.3305,-,IC
2015-03-08 12:22:50,8300000,25.6093,121.5179,-,IC
2015-03-08 12:22:50,114600000,26.0469,121.2914,-,IC
2015-03-08 12:22:50,114700000,26.0469,121.2914,-,IC
2015-03-08 12:22:50,114800000,26.0316,121.2997,-,IC
2015-03-08 12:22:50,214200000,26.162,121.3516,-,IC
2015-03-08 12:27:58,205676724,26.2482681274414,121.4033203125,43.068,CG
2015-03-08 13:51:47,776100000,24.9147,121.1698,-,IC
2015-03-08 15:54:55,83200000,23.0398,121.2327,-,IC
2015-03-08 18:16:24,192800000,23.1806,121.1416,-,IC
2015-03-09 07:52:12,185300000,22.9985,121.1647,-,IC
2015-03-10 06:17:43,944100000,23.2379,121.122,-,IC
2015-03-10 06:56:56,350300000,23.1432,121.142,-,IC
2015-03-10 07:37:13,347700000,23.819,121.044,-,IC
2015-03-10 07:37:19,500800000,23.8186,121.0582,-,IC
2015-03-10 07:37:19,500900000,23.8211,121.045,-,IC
2015-03-10 07:37:25,31100000,23.8237,121.0407,-,IC
2015-03-10 07:37:33,419600000,23.8279,121.0573,-,IC
2015-03-10 07:38:05,588400000,23.8507,121.0372,-,IC
2015-03-10 07:38:09,919500000,24.626,120.8829,-,IC
2015-03-10 07:38:11,635000000,23.8535,121.0356,-,IC
2015-03-10 07:38:13,343600000,23.8557,121.0496,-,IC
2015-03-10 07:38:13,343700000,23.8555,121.0452,-,IC
2015-03-10 07:38:13,525900000,23.8555,121.0475,-,IC
2015-03-10 07:38:13,526000000,23.8553,121.0431,-,IC
2015-03-10 07:38:13,961000000,23.8559,121.0428,-,IC
2015-03-10 07:38:16,245500000,23.8574,121.0463,-,IC
2015-03-10 07:38:45,39900000,23.881,121.0381,-,IC
2015-03-10 07:38:45,40000000,23.881,121.0381,-,IC
2015-03-10 07:49:24,472300000,24.0851,121.0089,-,IC
2015-03-10 08:12:33,256700000,24.3337,120.9765,-,IC
2015-03-10 08:12:33,256800000,24.3337,120.9765,-,IC
2015-03-10 17:40:21,121600000,24.7044,120.9633,-,IC
2015-03-10 18:13:41,824900000,23.8599,121.041,-,IC
2015-03-10 18:14:37,867300000,23.6099,121.0955,-,IC
2015-03-10 18:14:37,867400000,23.6099,121.0955,-,IC
2015-03-10 18:56:33,572000000,22.9018,121.1896,-,IC
2015-03-10 19:07:55,91900000,24.2602,120.9863,-,IC
2015-03-10 19:07:57,327500000,24.3307,120.9745,-,IC
2015-03-10 19:16:08,532300000,24.4863,120.9554,-,IC
2015-03-10 19:16:08,532400000,24.4863,120.9554,-,IC
2015-03-10 19:22:31,225700000,23.9607,121.0453,-,IC
2015-03-10 19:22:31,225800000,23.9607,121.0453,-,IC
2015-03-10 19:32:40,360100000,23.7633,121.0571,-,IC
2015-03-10 19:56:56,80900000,24.188,120.9955,-,IC
2015-03-10 19:56:56,81000000,24.188,120.9955,-,IC
2015-03-10 20:31:11,243300000,24.4484,120.9597,-,IC
2015-03-10 20:32:59,622100000,23.7669,121.058,-,IC
2015-03-10 20:37:29,170200000,23.9757,121.0333,-,IC
