日期時間,奈秒,經度,緯度,電流強度(kA),雷擊型態
2015-10-01 03:28:18,791900000,21.7059,118.962,-,IC
2015-10-01 03:28:18,792000000,21.7758,119.1148,-,IC
2015-10-01 04:44:35,991372233,23.6677761077881,118.037010192871,-126.485,CG
2015-10-01 05:07:32,89027756,23.9752502441406,118.167419433594,-104.543,CG
2015-10-01 05:11:02,627100000,23.5603,118.2263,-,IC
2015-10-01 05:17:06,790395493,23.7553062438965,118.04541015625,-43.8635,CG
2015-10-01 05:17:19,776400000,21.925,119.1664,-,IC
2015-10-01 05:17:19,776500000,21.961,119.1992,-,IC
2015-10-01 05:17:19,776800000,21.8852,119.1594,-,IC
2015-10-01 05:17:19,776900000,21.9358,119.2568,-,IC
2015-10-01 05:17:19,777000000,21.891,119.1778,-,IC
2015-10-01 05:28:45,140500000,24.3995,121.8165,-,IC
2015-10-01 05:33:19,207100000,21.9773,119.2481,-,IC
2015-10-01 05:40:28,397021223,24.2633438110352,118.255218505859,26.4735,CG
2015-10-01 05:45:05,711654141,22.0692501068115,118.08390045166,-118.659,CG
2015-10-01 05:49:08,304300000,24.0755,119.8789,-,IC
2015-10-01 05:52:01,780546495,24.3564796447754,118.27082824707,-56.7025,CG
2015-10-01 05:58:40,463314628,24.3907775878906,118.47762298584,-177.008,CG
2015-10-01 06:01:52,63700000,22.026,119.3179,-,IC
2015-10-01 06:01:52,63800000,22.0195,119.2138,-,IC
2015-10-01 06:17:22,629408463,24.4982280731201,118.50447845459,-21.423,CG
2015-10-01 06:22:46,774327445,24.4224700927734,118.409454345703,31.3575,CG
2015-10-01 06:31:43,921085023,24.2812366485596,118.361396789551,-21.8115,CG
2015-10-01 07:20:26,537450299,24.568115234375,118.679779052734,-11.618,CG
2015-10-01 07:54:47,208800000,21.8733,119.3042,-,IC
2015-10-01 07:55:59,441100000,21.8615,119.228,-,IC
2015-10-01 08:28:32,514300000,23.8631,118.3651,-,IC
2015-10-01 08:28:32,514400000,23.869,118.3566,-,IC
2015-10-01 08:30:43,835957942,24.0501346588135,118.603164672852,15.54,CG
2015-10-01 08:39:56,869800000,22.0072,119.3638,-,IC
2015-10-01 08:40:58,295000000,21.9902,119.3485,-,IC
2015-10-01 08:45:43,309900000,23.7112,118.2807,-,IC
2015-10-01 08:47:44,486500000,21.983,119.3262,-,IC
2015-10-01 08:47:44,486600000,22.0056,119.3358,-,IC
2015-10-01 08:52:41,912900000,23.8919,118.5382,-,IC
2015-10-01 09:08:51,853000000,21.9672,119.2363,-,IC
2015-10-01 09:11:43,428900000,22.0472,119.38,-,IC
2015-10-01 09:24:22,407880648,24.6441040039062,119.231399536133,-11.4145,CG
2015-10-01 09:27:26,2549797,24.7130279541016,119.159805297852,12.247,CG
2015-10-01 09:28:58,699000000,23.6064,118.3766,-,IC
2015-10-01 09:28:59,66400000,23.579,118.414,-,IC
2015-10-01 09:34:11,900500000,23.596,118.3373,-,IC
2015-10-01 09:34:11,900600000,23.6104,118.3122,-,IC
2015-10-01 09:34:12,25000000,23.5654,118.3706,-,IC
2015-10-01 09:35:44,823079643,24.7291870117188,119.211090087891,15.1885,CG
2015-10-01 09:35:44,823967537,24.6822776794434,119.352928161621,15.8545,CG
2015-10-01 09:40:28,712900000,24.0452,119.38,-,IC
2015-10-01 09:40:28,713100000,24.0666,119.4158,-,IC
2015-10-01 09:40:28,713200000,24.0533,119.4313,-,IC
2015-10-01 09:40:28,793500000,23.6783,118.2786,-,IC
2015-10-01 09:43:48,76993038,23.8681774139404,118.426597595215,12.5245,CG
2015-10-01 09:45:40,541600000,23.7357,118.3521,-,IC
2015-10-01 09:47:24,760600000,23.6187,118.4181,-,IC
