日期時間,奈秒,經度,緯度,電流強度(kA),雷擊型態
2015-12-01 10:27:52,96200000,24.5394,121.8697,-,IC
2015-12-01 10:27:54,17900000,24.5309,121.8987,-,IC
2015-12-01 10:27:54,18000000,24.5254,121.8775,-,IC
2015-12-01 10:27:54,38600000,24.5666,121.8684,-,IC
2015-12-01 10:27:54,38700000,24.5551,121.8791,-,IC
2015-12-01 10:27:55,23600000,24.5554,121.8818,-,IC
2015-12-01 10:27:55,85500000,24.5686,121.8666,-,IC
2015-12-01 10:27:55,85600000,24.5599,121.8746,-,IC
2015-12-01 10:27:57,40300000,24.5137,121.8727,-,IC
2015-12-01 10:27:58,2900000,24.5654,121.9004,-,IC
2015-12-01 10:27:58,3000000,24.5654,121.9004,-,IC
2015-12-01 10:27:58,43900000,24.5687,121.886,-,IC
2015-12-01 10:27:58,44000000,24.5687,121.886,-,IC
2015-12-01 10:27:58,44100000,24.5469,121.8838,-,IC
2015-12-01 10:27:58,64500000,24.5904,121.8976,-,IC
2015-12-01 10:27:58,64600000,24.5759,121.9124,-,IC
2015-12-01 10:27:58,64700000,24.567,121.908,-,IC
2015-12-01 10:28:01,60300000,24.5769,121.8999,-,IC
2015-12-01 10:28:01,60400000,24.5917,121.8851,-,IC
2015-12-01 10:28:04,13000000,24.63,121.9199,-,IC
2015-12-01 10:28:04,13100000,24.63,121.9199,-,IC
2015-12-01 10:28:04,13200000,24.6323,121.9183,-,IC
2015-12-01 10:28:05,83300000,24.6363,121.9336,-,IC
2015-12-01 10:28:05,83400000,24.6363,121.9336,-,IC
2015-12-01 10:28:06,60900000,24.6782,121.9312,-,IC
2015-12-01 10:28:06,61000000,24.6825,121.9255,-,IC
2015-12-01 10:28:06,81300000,24.6709,121.9158,-,IC
2015-12-01 10:28:06,81400000,24.6725,121.9137,-,IC
2015-12-01 10:28:11,54400000,24.608,121.8928,-,IC
2015-12-01 10:28:11,54500000,24.5933,121.9082,-,IC
2015-12-01 10:28:11,54600000,24.6121,121.9015,-,IC
2015-12-01 10:28:13,22900000,24.6031,121.9249,-,IC
2015-12-01 10:28:13,23000000,24.5966,121.9216,-,IC
2015-12-01 10:28:13,61500000,24.6285,121.9181,-,IC
2015-12-01 10:28:13,61600000,24.6279,121.9187,-,IC
2015-12-01 10:28:14,67000000,24.6183,121.9397,-,IC
2015-12-01 10:28:14,67100000,24.6134,121.9372,-,IC
2015-12-01 10:28:15,16600000,24.6597,121.9266,-,IC
2015-12-01 10:28:16,100000,24.6772,121.9399,-,IC
2015-12-01 10:28:16,20000000,24.6403,121.96,-,IC
2015-12-01 10:28:16,20200000,24.672,121.9206,-,IC
2015-12-01 10:28:16,60000000,24.6512,121.9458,-,IC
2015-12-01 10:28:16,60200000,24.6648,121.929,-,IC
2015-12-01 10:28:16,60300000,24.6612,121.9265,-,IC
2015-12-01 10:28:16,80100000,24.6632,121.9271,-,IC
2015-12-01 10:28:16,80200000,24.6572,121.9347,-,IC
2015-12-01 10:28:19,3400000,24.5337,121.9035,-,IC
2015-12-01 10:28:19,23800000,24.5432,121.8773,-,IC
2015-12-01 10:28:19,84800000,24.5111,121.8637,-,IC
2015-12-01 10:28:19,84900000,24.5106,121.8642,-,IC
2015-12-01 10:28:19,85000000,24.5252,121.871,-,IC
2015-12-01 10:28:20,14200000,24.4323,121.8337,-,IC
2015-12-01 10:28:20,55100000,24.4204,121.8144,-,IC
2015-12-01 10:28:26,4500000,24.5898,121.9278,-,IC
2015-12-01 10:28:26,4600000,24.608,121.9082,-,IC
2015-12-01 10:28:26,4700000,24.6123,121.9102,-,IC
2015-12-01 10:28:26,4800000,24.6057,121.9106,-,IC
