ROWNUM,X,Y,FEEDER
24.5768121.8971,24.5768,121.8971,24.5768121.8971
24.5672121.9033,24.5672,121.9033,24.5672121.9033
24.5342121.9241,24.5342,121.9241,24.5342121.9241
24.5603121.8867,24.5603,121.8867,24.5603121.8867
24.5618121.8874,24.5618,121.8874,24.5618121.8874
24.5831121.8959,24.5831,121.8959,24.5831121.8959
24.5566121.9047,24.5566,121.9047,24.5566121.9047
24.7721121.9663,24.7721,121.9663,24.7721121.9663
24.7657121.9709,24.7657,121.9709,24.7657121.9709
24.7833121.983,24.7833,121.983,24.7833121.983
24.7782121.9929,24.7782,121.9929,24.7782121.9929
24.7916121.9971,24.7916,121.9971,24.7916121.9971
24.6039121.9426,24.6039,121.9426,24.6039121.9426
24.609121.9321,24.609,121.9321,24.609121.9321
24.6197121.9303,24.6197,121.9303,24.6197121.9303
24.5959121.9565,24.5959,121.9565,24.5959121.9565
24.6261121.9104,24.6261,121.9104,24.6261121.9104
24.6147121.9052,24.6147,121.9052,24.6147121.9052
24.6663121.9376,24.6663,121.9376,24.6663121.9376
24.6383121.9195,24.6383,121.9195,24.6383121.9195
24.6528121.9472,24.6528,121.9472,24.6528121.9472
24.6678121.9279,24.6678,121.9279,24.6678121.9279
24.6582121.9381,24.6582,121.9381,24.6582121.9381
24.6512121.9469,24.6512,121.9469,24.6512121.9469
24.6657121.9331,24.6657,121.9331,24.6657121.9331
24.6159121.9473,24.6159,121.9473,24.6159121.9473
24.6447121.9285,24.6447,121.9285,24.6447121.9285
24.6562121.9412,24.6562,121.9412,24.6562121.9412
24.6664121.9281,24.6664,121.9281,24.6664121.9281
24.6283121.9259,24.6283,121.9259,24.6283121.9259
24.6364121.9233,24.6364,121.9233,24.6364121.9233
24.6484121.921,24.6484,121.921,24.6484121.921
24.6524121.9312,24.6524,121.9312,24.6524121.9312
24.6137121.917,24.6137,121.917,24.6137121.917
24.6286121.9279,24.6286,121.9279,24.6286121.9279
24.6388121.9137,24.6388,121.9137,24.6388121.9137
24.6373121.9248,24.6373,121.9248,24.6373121.9248
24.4874122.1938,24.4874,122.1938,24.4874122.1938
24.4846122.1905,24.4846,122.1905,24.4846122.1905
24.7007121.984,24.7007,121.984,24.7007121.984
24.6941121.9563,24.6941,121.9563,24.6941121.9563
24.7186121.9633,24.7186,121.9633,24.7186121.9633
24.7156121.9773,24.7156,121.9773,24.7156121.9773
24.7247121.9556,24.7247,121.9556,24.7247121.9556
24.7095121.9469,24.7095,121.9469,24.7095121.9469
24.731121.9595,24.731,121.9595,24.731121.9595
24.7352121.9764,24.7352,121.9764,24.7352121.9764
24.7488121.9587,24.7488,121.9587,24.7488121.9587
24.742121.9567,24.742,121.9567,24.742121.9567
24.8484122.0308,24.8484,122.0308,24.8484122.0308
24.7205121.934,24.7205,121.934,24.7205121.934
24.6943121.9644,24.6943,121.9644,24.6943121.9644
24.7154121.9497,24.7154,121.9497,24.7154121.9497
24.7002121.9648,24.7002,121.9648,24.7002121.9648
24.7476121.9118,24.7476,121.9118,24.7476121.9118
24.691121.9467,24.691,121.9467,24.691121.9467
24.7145121.9471,24.7145,121.9471,24.7145121.9471
24.7211121.9538,24.7211,121.9538,24.7211121.9538
24.6997121.9737,24.6997,121.9737,24.6997121.9737
24.7135121.958,24.7135,121.958,24.7135121.958
24.7369121.953,24.7369,121.953,24.7369121.953
24.7117121.9895,24.7117,121.9895,24.7117121.9895
24.7123121.9723,24.7123,121.9723,24.7123121.9723
24.7115121.9708,24.7115,121.9708,24.7115121.9708
24.6985121.954,24.6985,121.954,24.6985121.954
24.7121121.9453,24.7121,121.9453,24.7121121.9453
24.7327121.96,24.7327,121.96,24.7327121.96
24.7634121.9143,24.7634,121.9143,24.7634121.9143
24.725121.9658,24.725,121.9658,24.725121.9658
24.7173121.9622,24.7173,121.9622,24.7173121.9622
24.724121.9641,24.724,121.9641,24.724121.9641
24.7122121.9801,24.7122,121.9801,24.7122121.9801
24.7257121.9722,24.7257,121.9722,24.7257121.9722
24.7055121.9531,24.7055,121.9531,24.7055121.9531
24.735121.9624,24.735,121.9624,24.735121.9624
24.734121.964,24.734,121.964,24.734121.964
24.6988121.9919,24.6988,121.9919,24.6988121.9919
24.7234121.9537,24.7234,121.9537,24.7234121.9537
24.6842121.942,24.6842,121.942,24.6842121.942
24.6609121.9439,24.6609,121.9439,24.6609121.9439
24.6453121.9354,24.6453,121.9354,24.6453121.9354
24.6362121.943,24.6362,121.943,24.6362121.943
24.6608121.921,24.6608,121.921,24.6608121.921
24.6548121.9285,24.6548,121.9285,24.6548121.9285
24.7386121.975,24.7386,121.975,24.7386121.975
24.7566121.9675,24.7566,121.9675,24.7566121.9675
24.7224121.9847,24.7224,121.9847,24.7224121.9847
24.7484121.9503,24.7484,121.9503,24.7484121.9503
24.7382121.9644,24.7382,121.9644,24.7382121.9644
24.7295121.9502,24.7295,121.9502,24.7295121.9502
24.6962121.9914,24.6962,121.9914,24.6962121.9914
24.7315121.9758,24.7315,121.9758,24.7315121.9758
24.729121.9882,24.729,121.9882,24.729121.9882
24.8382122.017,24.8382,122.017,24.8382122.017
24.8399122.0048,24.8399,122.0048,24.8399122.0048
24.8307122.0007,24.8307,122.0007,24.8307122.0007
24.8178122.006,24.8178,122.006,24.8178122.006
24.8742121.8676,24.8742,121.8676,24.8742121.8676
24.8749122.0253,24.8749,122.0253,24.8749122.0253
24.8612122.0214,24.8612,122.0214,24.8612122.0214
24.8869122.0371,24.8869,122.0371,24.8869122.0371
24.8828122.0502,24.8828,122.0502,24.8828122.0502
24.8603122.0203,24.8603,122.0203,24.8603122.0203
24.8668122.0063,24.8668,122.0063,24.8668122.0063
24.7918121.9832,24.7918,121.9832,24.7918121.9832
24.7871121.9862,24.7871,121.9862,24.7871121.9862
24.7897122.0119,24.7897,122.0119,24.7897122.0119
24.7932121.9941,24.7932,121.9941,24.7932121.9941
24.7879121.9965,24.7879,121.9965,24.7879121.9965
24.6729121.9892,24.6729,121.9892,24.6729121.9892
24.6856121.9748,24.6856,121.9748,24.6856121.9748
24.6963121.9468,24.6963,121.9468,24.6963121.9468
24.6919121.9556,24.6919,121.9556,24.6919121.9556
24.693121.9405,24.693,121.9405,24.693121.9405
24.6635121.9863,24.6635,121.9863,24.6635121.9863
24.6894121.9462,24.6894,121.9462,24.6894121.9462
24.7189121.9614,24.7189,121.9614,24.7189121.9614
24.7086121.9841,24.7086,121.9841,24.7086121.9841
24.7076121.9734,24.7076,121.9734,24.7076121.9734
24.7235121.9503,24.7235,121.9503,24.7235121.9503
24.7047121.938,24.7047,121.938,24.7047121.938
24.663122.0062,24.663,122.0062,24.663122.0062
24.7858121.8327,24.7858,121.8327,24.7858121.8327
24.698121.9483,24.698,121.9483,24.698121.9483
24.6972121.965,24.6972,121.965,24.6972121.965
24.7057121.9554,24.7057,121.9554,24.7057121.9554
24.7141121.9492,24.7141,121.9492,24.7141121.9492
24.8223121.9912,24.8223,121.9912,24.8223121.9912
24.8326121.9958,24.8326,121.9958,24.8326121.9958
24.6695121.925,24.6695,121.925,24.6695121.925
24.663121.9333,24.663,121.9333,24.663121.9333
24.6547121.9294,24.6547,121.9294,24.6547121.9294
24.6419121.954,24.6419,121.954,24.6419121.954
24.6294121.9672,24.6294,121.9672,24.6294121.9672
24.687121.9324,24.687,121.9324,24.687121.9324
24.8512121.6827,24.8512,121.6827,24.8512121.6827
24.6759121.9366,24.6759,121.9366,24.6759121.9366
24.6022121.8961,24.6022,121.8961,24.6022121.8961
24.6128121.9079,24.6128,121.9079,24.6128121.9079
24.6114121.9072,24.6114,121.9072,24.6114121.9072
24.6134121.9241,24.6134,121.9241,24.6134121.9241
24.6252121.9165,24.6252,121.9165,24.6252121.9165
24.607121.9396,24.607,121.9396,24.607121.9396
24.608121.8998,24.608,121.8998,24.608121.8998
24.5192121.8997,24.5192,121.8997,24.5192121.8997
24.5318121.8884,24.5318,121.8884,24.5318121.8884
24.5359121.875,24.5359,121.875,24.5359121.875
24.3939121.8069,24.3939,121.8069,24.3939121.8069
24.3859121.7982,24.3859,121.7982,24.3859121.7982
24.3744121.8017,24.3744,121.8017,24.3744121.8017
24.325121.8172,24.325,121.8172,24.325121.8172
24.3661121.7965,24.3661,121.7965,24.3661121.7965
24.5593121.8873,24.5593,121.8873,24.5593121.8873
24.5679121.8792,24.5679,121.8792,24.5679121.8792
24.5153121.8868,24.5153,121.8868,24.5153121.8868
24.5292121.8747,24.5292,121.8747,24.5292121.8747
24.5165121.8643,24.5165,121.8643,24.5165121.8643
24.489121.8841,24.489,121.8841,24.489121.8841
24.5467121.8845,24.5467,121.8845,24.5467121.8845
24.5413121.8687,24.5413,121.8687,24.5413121.8687
24.5541121.8733,24.5541,121.8733,24.5541121.8733
24.5363121.8887,24.5363,121.8887,24.5363121.8887
24.3913121.8089,24.3913,121.8089,24.3913121.8089
24.4001121.8131,24.4001,121.8131,24.4001121.8131
24.3862121.8004,24.3862,121.8004,24.3862121.8004
24.3353121.78,24.3353,121.78,24.3353121.78
24.3394121.7789,24.3394,121.7789,24.3394121.7789
24.3581121.7807,24.3581,121.7807,24.3581121.7807
24.6637121.6207,24.6637,121.6207,24.6637121.6207
24.3549121.7972,24.3549,121.7972,24.3549121.7972
24.5406121.8745,24.5406,121.8745,24.5406121.8745
24.5239121.861,24.5239,121.861,24.5239121.861
24.5192121.871,24.5192,121.871,24.5192121.871
24.5712121.8861,24.5712,121.8861,24.5712121.8861
24.5937121.8822,24.5937,121.8822,24.5937121.8822
24.5795121.876,24.5795,121.876,24.5795121.876
24.5272121.8661,24.5272,121.8661,24.5272121.8661
24.5659121.8775,24.5659,121.8775,24.5659121.8775
24.5682121.8785,24.5682,121.8785,24.5682121.8785
24.5219121.8709,24.5219,121.8709,24.5219121.8709
24.5521121.8791,24.5521,121.8791,24.5521121.8791
24.5302121.8881,24.5302,121.8881,24.5302121.8881
24.5346121.8973,24.5346,121.8973,24.5346121.8973
24.5157121.8649,24.5157,121.8649,24.5157121.8649
24.5318121.8703,24.5318,121.8703,24.5318121.8703
24.5312121.8708,24.5312,121.8708,24.5312121.8708
24.5333121.8627,24.5333,121.8627,24.5333121.8627
24.5327121.8632,24.5327,121.8632,24.5327121.8632
24.5446121.8708,24.5446,121.8708,24.5446121.8708
24.5382121.8714,24.5382,121.8714,24.5382121.8714
24.526121.8703,24.526,121.8703,24.526121.8703
24.5267121.8706,24.5267,121.8706,24.5267121.8706
24.531121.8674,24.531,121.8674,24.531121.8674
24.4985121.8801,24.4985,121.8801,24.4985121.8801
24.5195121.8718,24.5195,121.8718,24.5195121.8718
24.5374121.8661,24.5374,121.8661,24.5374121.8661
24.4624121.8692,24.4624,121.8692,24.4624121.8692
24.4856121.8481,24.4856,121.8481,24.4856121.8481
24.5195121.8804,24.5195,121.8804,24.5195121.8804
24.5348121.8725,24.5348,121.8725,24.5348121.8725
24.4817121.873,24.4817,121.873,24.4817121.873
24.4936121.8603,24.4936,121.8603,24.4936121.8603
24.5036121.8513,24.5036,121.8513,24.5036121.8513
24.5106121.8548,24.5106,121.8548,24.5106121.8548
24.5391121.8592,24.5391,121.8592,24.5391121.8592
24.5241121.8615,24.5241,121.8615,24.5241121.8615
24.554121.8766,24.554,121.8766,24.554121.8766
24.4046121.8123,24.4046,121.8123,24.4046121.8123
24.4343121.8221,24.4343,121.8221,24.4343121.8221
24.4547121.8334,24.4547,121.8334,24.4547121.8334
24.4722121.8431,24.4722,121.8431,24.4722121.8431
24.5502121.7727,24.5502,121.7727,24.5502121.7727
24.4596121.839,24.4596,121.839,24.4596121.839
24.4382121.8219,24.4382,121.8219,24.4382121.8219
24.4129121.829,24.4129,121.829,24.4129121.829
24.4459121.8318,24.4459,121.8318,24.4459121.8318
24.4342121.824,24.4342,121.824,24.4342121.824
24.436121.8323,24.436,121.8323,24.436121.8323
24.4204121.8433,24.4204,121.8433,24.4204121.8433
24.4403121.8298,24.4403,121.8298,24.4403121.8298
24.4886121.8385,24.4886,121.8385,24.4886121.8385
24.4544121.8305,24.4544,121.8305,24.4544121.8305
24.4568121.8257,24.4568,121.8257,24.4568121.8257
24.4897121.8447,24.4897,121.8447,24.4897121.8447
24.5109121.8741,24.5109,121.8741,24.5109121.8741
24.5314121.8569,24.5314,121.8569,24.5314121.8569
24.542121.8808,24.542,121.8808,24.542121.8808
24.5065121.8529,24.5065,121.8529,24.5065121.8529
24.5054121.8538,24.5054,121.8538,24.5054121.8538
24.5509121.8829,24.5509,121.8829,24.5509121.8829
24.5208121.8696,24.5208,121.8696,24.5208121.8696
24.5277121.8638,24.5277,121.8638,24.5277121.8638
24.4887121.8519,24.4887,121.8519,24.4887121.8519
24.4978121.8579,24.4978,121.8579,24.4978121.8579
24.5053121.8499,24.5053,121.8499,24.5053121.8499
24.5182121.8614,24.5182,121.8614,24.5182121.8614
24.4922121.8437,24.4922,121.8437,24.4922121.8437
24.482121.8561,24.482,121.8561,24.482121.8561
24.5208121.8423,24.5208,121.8423,24.5208121.8423
24.4738121.8622,24.4738,121.8622,24.4738121.8622
24.4697121.8641,24.4697,121.8641,24.4697121.8641
24.4817121.8506,24.4817,121.8506,24.4817121.8506
24.4892121.8576,24.4892,121.8576,24.4892121.8576
