經度緯度,電流強度(kA)0
24.5394121.8697,-0
24.5309121.8987,-0
24.5254121.8775,-0
24.5666121.8684,-0
24.5551121.8791,-0
24.5554121.8818,-0
24.5686121.8666,-0
24.5599121.8746,-0
24.5137121.8727,-0
24.5654121.9004,-0
24.5654121.9004,-0
24.5687121.886,-0
24.5687121.886,-0
24.5469121.8838,-0
24.5904121.8976,-0
24.5759121.9124,-0
24.567121.908,-0
24.5769121.8999,-0
24.5917121.8851,-0
24.63121.9199,-0
24.63121.9199,-0
24.6323121.9183,-0
24.6363121.9336,-0
24.6363121.9336,-0
24.6782121.9312,-0
24.6825121.9255,-0
24.6709121.9158,-0
24.6725121.9137,-0
24.608121.8928,-0
24.5933121.9082,-0
24.6121121.9015,-0
24.6031121.9249,-0
24.5966121.9216,-0
24.6285121.9181,-0
24.6279121.9187,-0
24.6183121.9397,-0
24.6134121.9372,-0
24.6597121.9266,-0
24.6772121.9399,-0
24.6403121.96,-0
24.672121.9206,-0
24.6512121.9458,-0
24.6648121.929,-0
24.6612121.9265,-0
24.6632121.9271,-0
24.6572121.9347,-0
24.5337121.9035,-0
24.5432121.8773,-0
24.5111121.8637,-0
24.5106121.8642,-0
24.5252121.871,-0
24.4323121.8337,-0
24.4204121.8144,-0
24.5898121.9278,-0
24.608121.9082,-0
24.6123121.9102,-0
24.6057121.9106,-0
24.5823121.9175,-0
24.5823121.9175,-0
24.618121.9002,-0
24.6056121.9136,-0
24.6114121.9128,-0
24.6117121.9095,-0
24.6095121.9119,-0
24.6363121.9117,-0
24.6335121.9149,-0
24.6412121.9184,-0
24.601121.8909,-0
24.6002121.8905,-0
24.6074121.9128,-0
24.6074121.9128,-0
24.617121.9069,-0
24.6192121.9123,-0
24.6177121.9116,-0
24.6002121.9035,-0
24.6002121.9035,-0
24.5797121.8948,-0
24.6381121.9165,-0
24.6283121.912,-0
24.6483121.9308,-0
24.6531121.9331,-0
24.6327121.9236,-0
24.6327121.9236,-0
24.6347121.9236,-0
24.6157121.9342,-0
24.6987121.9846,-0
24.6767121.9384,-0
24.6877121.9338,-0
24.6861121.936,-0
24.6798121.9459,-0
24.631121.972,-0
24.6578121.9403,-0
24.6636121.9318,-0
24.6312121.9645,-0
24.6432121.9354,-0
24.6546121.9213,-0
24.6858121.9311,-0
24.686121.938,-0
24.6781121.9365,-0
24.6727121.9437,-0
24.6462121.9266,-0
24.6479121.9246,-0
24.7181121.988,-0
24.7489121.9888,-0
24.7561121.9719,-0
24.7562121.9859,-0
24.7446121.9964,-0
24.7184121.9798,-0
24.7306121.9764,-0
24.7301121.9772,-0
24.7175121.9867,-0
24.7043121.9392,-0
24.6598122.0014,-0
24.6608121.9879,-0
24.6826121.9472,-0
24.6991121.9511,-0
24.7055121.9404,-0
24.6986121.9631,-0
24.6021121.9069,-0
24.6021121.9069,-0
24.6047121.903,-0
24.5949121.9463,-0
24.5928121.9487,-0
24.599121.8972,-0
24.5872121.8918,-0
24.6013121.9015,-0
24.5974121.9056,-0
24.581121.9071,-0
24.5947121.9054,-0
24.5859121.9012,-0
24.4781121.8541,-0
24.5355121.8588,-0
24.5178121.8738,-0
25.751122.4862,-0
25.5585122.3542,-0
24.6209121.9419,-0
24.6209121.9419,-0
24.6037121.9546,-0
24.6127121.944,-0
24.607121.9555,-0
24.6024121.9949,-0
24.6273121.9638,-0
24.6231121.9616,-0
24.5848121.9674,-0
24.5848121.9674,-0
24.6228121.932,-0
24.6336121.9183,-0
24.6287121.916,-0
24.8829122.0598,-0
24.8893122.0389,-0
24.6411121.939,-0
24.6411121.939,-0
24.6462121.9329,-0
24.6462121.9329,-0
24.6049121.9184,-0
24.6171121.9243,-0
24.619121.9432,-0
24.6585121.923,-0
24.6585121.923,-0
24.5357121.8721,-0
24.5369121.8711,-0
24.5226121.8562,-0
24.5144121.8706,-0
24.4912121.8559,-0
24.6323121.9086,-0
24.6615121.8753,-0
24.6144121.9233,-0
24.6286121.9196,-0
24.6286121.9196,-0
24.6089121.927,-0
24.6068121.926,-0
24.6109121.9157,-0
24.6208121.9236,-0
24.6208121.9236,-0
24.6153121.9175,-0
24.6146121.9172,-0
24.6193121.9097,-0
24.6198121.9231,-0
24.6198121.9231,-0
24.5989121.911,-0
24.5974121.9103,-0
24.6444121.8596,-0
24.5988121.9241,-0
24.6093121.9127,-0
24.6107121.9133,-0
24.6191121.9009,-0
24.6213121.9018,-0
24.6062121.892,-0
24.6084121.893,-0
24.584121.9251,-0
24.5884121.9273,-0
24.6446121.9261,-0
24.6293121.9189,-0
24.5189122.0108,-0
24.6144121.9493,-0
24.6325121.9175,-0
24.6258121.9281,-0
24.5937121.9655,-0
24.7731121.7467,-0
24.6414121.9111,-0
24.6518121.9359,-0
24.6333121.9158,-0
24.6216121.9349,-0
24.6524121.9204,-0
24.638121.9332,-0
24.6908121.8745,-0
24.6021121.9737,-0
24.6437121.9236,-0
24.6368121.9388,-0
24.6245121.9538,-0
24.6391121.9571,-0
24.6704121.9323,-0
24.6624121.9427,-0
24.6574121.9328,-0
24.6994121.893,-0
24.649121.9525,-0
24.6366121.9068,-0
24.6449121.939,-0
24.6646121.9124,-0
24.6564121.9226,-0
24.6369121.9467,-0
24.6431121.9302,-0
24.608121.9692,-0
24.6469121.9256,-0
24.6453121.9233,-0
24.6453121.9233,-0
24.7417121.8035,-0
24.621121.9547,-0
24.6453121.9263,-0
24.6426121.9116,-0
24.6217121.9397,-0
24.6014121.9079,-0
24.63121.9218,-0
24.6265121.9202,-0
24.6278121.9244,-0
24.611121.9404,-0
24.6439121.9159,-0
24.6517121.934,-0
24.6429121.9437,-0
24.7216121.9483,-0
24.7682121.9799,-0
24.7595121.9768,-0
24.7477121.9757,-0
24.7769121.9925,-0
24.8771121.7976,-0
24.598121.8965,-0
24.6037121.8906,-0
24.5933121.9113,-0
24.5817121.9201,-0
24.5884121.8995,-0
24.5488121.9214,-0
24.6074121.9105,-0
24.6252121.9125,-0
24.6308121.9151,-0
24.6265121.8894,-0
24.6499121.8639,-0
24.6067121.9109,-0
24.6172121.9042,-0
24.6087121.918,-0
24.6021121.9253,-0
24.5793121.8855,-0
24.5642121.9013,-0
24.5793121.909,-0
24.5793121.909,-0
24.5886121.9027,-0
24.5768121.8971,-0
24.5672121.9033,-0
24.5342121.9241,-0
24.5603121.8867,-0
24.5618121.8874,-0
24.5831121.8959,-0
24.5566121.9047,-0
24.7721121.9663,-0
24.7657121.9709,-0
24.7833121.983,-0
24.7782121.9929,-0
24.7916121.9971,-0
24.6039121.9426,-0
24.609121.9321,-0
24.6197121.9303,-0
24.5959121.9565,-0
24.6261121.9104,-0
24.6147121.9052,-0
24.6663121.9376,-0
24.6383121.9195,-0
24.6528121.9472,-0
24.6678121.9279,-0
24.6582121.9381,-0
24.6512121.9469,-0
24.6657121.9331,-0
24.6159121.9473,-0
24.6447121.9285,-0
24.6562121.9412,-0
24.6664121.9281,-0
24.6283121.9259,-0
24.6364121.9233,-0
24.6484121.921,-0
24.6524121.9312,-0
24.6137121.917,-0
24.6286121.9279,-0
24.6388121.9137,-0
24.6373121.9248,-0
24.4874122.1938,-0
24.4846122.1905,-0
24.7007121.984,-0
24.6941121.9563,-0
24.7186121.9633,-0
24.7156121.9773,-0
24.7247121.9556,-0
24.7095121.9469,-0
24.731121.9595,-0
24.7352121.9764,-0
24.7488121.9587,-0
24.742121.9567,-0
24.8484122.0308,-0
24.7205121.934,-0
24.6943121.9644,-0
24.7154121.9497,-0
24.7002121.9648,-0
24.7476121.9118,-0
24.691121.9467,-0
24.7145121.9471,-0
24.7211121.9538,-0
24.6997121.9737,-0
24.7135121.958,-0
24.7369121.953,-0
24.7117121.9895,-0
24.7123121.9723,-0
24.7115121.9708,-0
24.6985121.954,-0
24.7121121.9453,-0
24.7327121.96,-0
24.7634121.9143,-0
24.725121.9658,-0
24.7173121.9622,-0
24.724121.9641,-0
24.7122121.9801,-0
24.7257121.9722,-0
24.7055121.9531,-0
24.735121.9624,-0
24.734121.964,-0
24.6988121.9919,-0
24.7234121.9537,-0
24.6842121.942,-0
24.6609121.9439,-0
24.6453121.9354,-0
24.6362121.943,-0
24.6608121.921,-0
24.6548121.9285,-0
24.7386121.975,-0
24.7566121.9675,-0
24.7224121.9847,-0
24.7484121.9503,-0
24.7382121.9644,-0
24.7295121.9502,-0
24.6962121.9914,-0
24.7315121.9758,-0
24.729121.9882,-0
24.8382122.017,-0
24.8399122.0048,-0
24.8307122.0007,-0
24.8178122.006,-0
24.8742121.8676,-0
24.8749122.0253,-0
24.8612122.0214,-0
24.8869122.0371,-0
24.8828122.0502,-0
24.8603122.0203,-0
24.8668122.0063,-0
24.7918121.9832,-0
24.7871121.9862,-0
24.7897122.0119,-0
24.7932121.9941,-0
24.7879121.9965,-0
24.6729121.9892,-0
24.6856121.9748,-0
24.6963121.9468,-0
24.6919121.9556,-0
24.693121.9405,-0
24.6635121.9863,-0
24.6894121.9462,-0
24.7189121.9614,-0
24.7086121.9841,-0
24.7076121.9734,-0
24.7235121.9503,-0
24.7047121.938,-0
24.663122.0062,-0
24.7858121.8327,-0
24.698121.9483,-0
24.6972121.965,-0
24.7057121.9554,-0
24.7141121.9492,-0
24.8223121.9912,-0
24.8326121.9958,-0
24.6695121.925,-0
24.663121.9333,-0
24.6547121.9294,-0
24.6419121.954,-0
24.6294121.9672,-0
24.687121.9324,-0
24.8512121.6827,-0
24.6759121.9366,-0
24.6022121.8961,-0
24.6128121.9079,-0
24.6114121.9072,-0
24.6134121.9241,-0
24.6252121.9165,-0
24.607121.9396,-0
24.608121.8998,-0
24.5192121.8997,-0
24.5318121.8884,-0
24.5359121.875,-0
24.3939121.8069,-0
24.3859121.7982,-0
24.3744121.8017,-0
24.325121.8172,-0
24.3661121.7965,-0
24.5593121.8873,-0
24.5679121.8792,-0
24.5153121.8868,-0
24.5292121.8747,-0
24.5165121.8643,-0
24.489121.8841,-0
24.5467121.8845,-0
