經度緯度,電流強度(kA)0
23.5198121.9744,-0
22.969121.1542,-0
22.787121.6158,-0
23.1993121.7628,-0
23.4843122.5645,-0
23.5122.6364,-0
23.5507122.566,-0
23.2916122.092,-0
23.3634122.0348,-0
23.2303121.761,-0
23.24121.7681,-0
23.2261121.7648,-0
23.234121.7561,-0
23.2246121.7634,-0
23.2105121.7753,-0
23.3627122.0823,-0
23.3826122.0703,-0
23.3361122.114,-0
23.3838122.0763,-0
23.3685122.0829,-0
23.3505122.1085,-0
23.3654122.0911,-0
23.3085122.1398,-0
23.2069121.7707,-0
23.3329122.1125,-0
23.3523122.0981,-0
23.3209122.1252,-0
23.42121.6466,-0
23.1001121.5609,-0
23.0693121.5238,-0
24.0842122.3248,-0
23.5571121.6945,-0
23.2783122.112,-0
23.2914122.2733,-0
23.3526122.5929,-0
23.3276122.6214,-0
23.2145121.9183,-0
23.1744121.784,-0
23.1825121.7892,-0
23.2685122.1029,-0
23.2528122.1194,-0
23.195121.8137,-0
23.2544122.1965,-0
23.2702122.1717,-0
23.2325122.2034,-0
23.2094121.9121,-0
23.3901122.6342,-0
23.1788121.7817,-0
23.1768121.7831,-0
23.1568121.6333,-0
23.1835121.752,-0
23.1932121.7788,-0
23.198121.7725,-0
23.1971121.7604,-0
23.194121.779,-0
23.2779122.101,-0
23.2546122.1139,-0
23.1322121.5771,-0
23.1594121.7658,-0
23.178121.7625,-0
23.2193122.047,-0
23.2151122.0532,-0
23.239122.1801,-0
23.1841121.7724,-0
23.1736121.7611,-0
23.2052121.8708,-0
23.1756121.7671,-0
22.7409122.3679,-0
22.7315122.3812,-0
22.7566122.3493,-0
22.7354122.3161,-0
22.7549122.2991,-0
22.717122.3789,-0
22.7481122.3002,-0
23.1671121.7687,-0
23.2212122.2069,-0
23.238122.1926,-0
23.2419122.1767,-0
23.2295122.2033,-0
23.2353122.2004,-0
23.2531122.1867,-0
23.246122.1707,-0
23.2598122.1741,-0
23.2367122.188,-0
23.2478122.1758,-0
23.2523122.1687,-0
23.2368122.1792,-0
23.1672121.7659,-0
23.0706122.6918,-0
23.2109122.5004,-0
23.2191122.5253,-0
23.1733121.7556,-0
23.1737121.7744,-0
22.998122.6977,-0
